date_of_Payment,account_Number,branch_ID,bank_ID,transaction_ID,transaction_Amount,mode_of_Transfer1,date_of_Submission,invoice_Due_Date,remittance_Number,total_due_Amount,amount_Paid,balance_Amount,mode_of_Transfer2,status
14/07/2019,4880000000000000,SIL362,MS012,ADB62478,20636,"account,card,cash to cash",28/07/2019,14/08/2019,PMT-102478,20966,20636,330,"account,card,cash to cash",Approved
28/07/2019,4180000000000000,CCS08,MUFG012,CCS62479,31599,prepaid card,28/07/2019,11/08/2019,PMT-102479,31694,31599,95,prepaid card,Rejected
16/09/2019,4378290266829730,ITS03,SSC012,CCS62480,38485,"cash to account,credit/debit card service",28/09/2019,07/10/2019,PMT-102480,39439,38485,954,"cash to account,credit/debit card service",Approved
08/04/2019,4490000000000000,BEL16,MUFG012,TRN62481,20426,"cash to cash,credit/debit card service",25/04/2019,21/04/2019,PMT-102481,20947,20426,521,"cash to cash,credit/debit card service",Rejected
08/03/2019,4720000000000000,GPA01,DEU012,ADB62482,10834,"bank account transfer,debit card",25/03/2019,11/04/2019,PMT-102482,10951,10834,117,"bank account transfer,debit card",Rejected
03/11/2019,4280000000000000,BEL16,BMO012,CCS62483,11115,door to account,25/10/2019,03/11/2019,PMT-102483,11270,11115,155,door to account,Approved
23/03/2019,4360000000000000,BEL16,DEU012,CCS62484,22725,mobile,31/03/2019,14/04/2019,PMT-102484,23696,22725,971,mobile,Rejected
14/03/2019,4486019260868800,CCS08,MUFG012,EX162485,2136,"cash,cash to account",28/03/2019,14/04/2019,PMT-102485,2866,2136,730,"cash,cash to account",Approved
05/08/2019,4160000000000000,HEB18,AE012,TRN62486,13463,cash to account,15/08/2019,23/08/2019,PMT-102486,13943,13463,480,cash to account,Approved
15/07/2019,4689180256780640,HEB18,BNP012,CCS62487,25465,"cash to account,credit/debit card service",15/07/2019,03/08/2019,PMT-102487,25592,25465,127,"cash to account,credit/debit card service",Approved
15/04/2019,4523540557614720,BEL16,RBC012,TRN62488,38389,"cash,debit/credit card",28/04/2019,18/05/2019,PMT-102488,39287,38389,898,"cash,debit/credit card",Approved
15/04/2019,4460000000000000,MAR263,Nort012,TRN62489,35673,"account,account to cash",28/04/2019,12/05/2019,PMT-102489,35858,35673,185,"account,account to cash",Rejected
14/01/2019,4300000000000000,CCS08,CITI012,EX162490,31344,"account,account to cash",03/01/2019,06/01/2019,PMT-102490,31805,31344,461,"account,account to cash",Approved
09/09/2019,4300000000000000,GPA01,BNP012,ADB62491,8048,"bank account transfer,debit card",15/09/2019,11/09/2019,PMT-102491,8571,8048,523,"bank account transfer,debit card",Rejected
14/05/2019,4420000000000000,ITS03,AE012,CCS62492,13963,prepaid card,25/05/2019,11/06/2019,PMT-102492,14556,13963,593,prepaid card,Rejected
28/06/2019,4750000000000000,CCS08,BMO012,TRN62493,38409,account to account,28/06/2019,01/07/2019,PMT-102493,38544,38409,135,account to account,Approved
07/01/2019,4610000000000000,GPA01,BARC012,CCS62494,7978,account to account,07/01/2019,03/01/2019,PMT-102494,8947,7978,969,account to account,Rejected
15/02/2020,4300000000000000,SIL362,Nort012,EX062495,9525,"account,cash to cash",15/02/2020,26/02/2020,PMT-102495,9938,9525,413,"account,cash to cash",Approved
18/03/2019,4720000000000000,MAJ962,BNP012,ADB62496,24669,"account,cash to account",28/03/2019,16/04/2019,PMT-102496,24773,24669,104,"account,cash to account",Approved
25/12/2018,4502644813502350,SIL362,BNP012,CCS62497,29803,cash,10/01/2019,30/01/2019,PMT-102497,30683,29803,880,cash,Approved
20/12/2018,4240000000000000,ITS03,MS012,TRN62498,5480,cash to account,05/01/2019,11/01/2019,PMT-102498,5915,5480,435,cash to account,Rejected
20/02/2020,4720000000000000,MAR263,Nort012,TRN62499,38173,"account,cash to account",25/02/2020,08/03/2020,PMT-102499,38785,38173,612,"account,cash to account",Approved
15/10/2019,4486019260868800,ITS03,MS012,CCS62500,23824,eur service,15/10/2019,21/10/2019,PMT-102500,24266,23824,442,eur service,Rejected
13/12/2020,4458237294973340,SIL362,RBC012,TRN62501,26712,"cash,cash to account",29/12/2020,09/01/2021,PMT-102501,27474,26712,762,"cash,cash to account",Rejected
30/12/2019,4790000000000000,SIL362,UBS012,EX062502,18845,cash,15/01/2020,27/01/2020,PMT-102502,19835,18845,990,cash,Rejected
21/08/2019,4502644813502350,ITS03,BMO012,TRN62503,2924,cash,25/08/2019,01/09/2019,PMT-102503,3749,2924,825,cash,Approved
21/10/2019,4520000000000000,SIL362,GMS012,CCS62504,21962,"bank account transfer,debit card",28/10/2019,07/11/2019,PMT-102504,22150,21962,188,"bank account transfer,debit card",Approved
12/04/2019,4840000000000000,SIL362,DEU012,TRN62505,8565,mobile money,28/04/2019,13/05/2019,PMT-102505,9418,8565,853,mobile money,Rejected
15/11/2019,4387350758070690,GPA01,GMS012,EX062506,14012,"account,card,cash to cash",15/11/2019,20/11/2019,PMT-102506,14224,14012,212,"account,card,cash to cash",Rejected
13/01/2020,4360000000000000,PAN27,BMO012,TRN62507,15537,"account,cash to cash",25/01/2020,09/02/2020,PMT-102507,16514,15537,977,"account,cash to cash",Rejected
13/12/2019,4870000000000000,PAN27,Nort012,CCS62508,30522,door to account,15/12/2019,30/12/2019,PMT-102508,31417,30522,895,door to account,Rejected
08/07/2019,4350000000000000,GPA01,AE012,CCS62509,7040,"cash,debit/credit card",15/07/2019,23/07/2019,PMT-102509,7115,7040,75,"cash,debit/credit card",Rejected
27/08/2019,4640000000000000,SIL362,Nort012,TRN62510,30907,cash,31/08/2019,17/09/2019,PMT-102510,31754,30907,847,cash,Approved
16/01/2019,4520000000000000,SIL362,MS012,ADB62511,14927,account to account,07/01/2019,17/01/2019,PMT-102511,15092,14927,165,account to account,Approved
15/05/2019,4380000000000000,MAR263,SSC012,TRN62512,31701,door to door,15/05/2019,25/05/2019,PMT-102512,31886,31701,185,eur service,Rejected
22/11/2019,4284399850715240,BEL16,Nort012,CCS62513,28147,prepaid card,30/11/2019,06/12/2019,PMT-102513,28835,28147,688,prepaid card,Approved
27/12/2018,4520000000000000,BEL16,Nort012,EX062514,34996,"cash,debit/credit card",08/01/2019,11/01/2019,PMT-102514,35774,34996,778,"cash,debit/credit card",Rejected
24/03/2019,4870000000000000,HEB18,HSBC012,ADB62515,33231,mobile money,28/03/2019,09/04/2019,PMT-102515,33946,33231,715,mobile money,Approved
24/01/2020,4780000000000000,PAN27,BNP012,CCS62516,30557,"bank account transfer,cash,mobile money",15/01/2020,04/02/2020,PMT-102516,30756,30557,199,"bank account transfer,cash,mobile money",Rejected
22/12/2019,4130000000000000,SIL362,AE012,CCS62517,23546,"account,cash to cash",31/12/2019,11/01/2020,PMT-102517,23944,23546,398,"account,cash to cash",Approved
15/02/2020,4270000000000000,BEL16,GMS012,EX062518,22287,"account,cash to cash",15/02/2020,21/02/2020,PMT-102518,22867,22287,580,"cash,cash to account",Approved
13/01/2020,4628703163321050,PAN27,HSBC012,ADB62519,29492,"cash to cash,credit/debit card service",31/01/2020,18/02/2020,PMT-102519,29726,29492,234,"bank account transfer,debit card",Approved
23/10/2019,4870000000000000,MAR263,JPM012,TRN62520,8992,prepaid card,25/10/2019,04/11/2019,PMT-102520,9766,8992,774,prepaid card,Rejected
04/05/2019,4240000000000000,ITS03,MUFG012,CCS62521,1581,eur service,15/05/2019,20/05/2019,PMT-102521,2159,1581,578,eur service,Approved
21/01/2020,4418568818305560,PAN27,SSC012,EX062522,28137,cash,28/01/2020,07/02/2020,PMT-102522,28294,28137,157,cash,Approved
15/08/2019,4310965278942460,BEL16,BNP012,ADB62523,24262,door to door,15/08/2019,20/08/2019,PMT-102523,24706,24262,444,door to door,Approved
25/12/2018,4870000000000000,PAN27,HSBC012,CCS62524,29408,"account,cash to cash",09/01/2019,26/01/2019,PMT-102524,30109,29408,701,"account,cash to cash",Rejected
21/12/2019,4440000000000000,SIL362,GMS012,TRN62525,10929,"account,account to cash",28/12/2019,10/01/2020,PMT-102525,11083,10929,154,"account,account to cash",Approved
12/12/2019,4810000000000000,ITS03,BMO012,EX062526,10221,mobile money,28/12/2019,17/01/2020,PMT-102526,11120,10221,899,mobile money,Approved
29/12/2018,4465487619421600,SIL362,MS012,ADB62527,29351,"cash to cash,credit/debit card service",10/01/2019,28/01/2019,PMT-102527,30255,29351,904,"cash to cash,credit/debit card service",Approved
21/12/2019,4275384634746050,CCS08,UBS012,CCS62528,3392,mobile,31/12/2019,10/01/2020,PMT-102528,3537,3392,145,mobile,Approved
15/07/2019,4280000000000000,PAN27,Nort012,CCS62529,13574,"account,cash to cash",15/07/2019,21/07/2019,PMT-102529,14080,13574,506,"account,cash to cash",Approved
04/07/2019,4790000000000000,GPA01,HSBC012,TRN62530,626,account to account,15/07/2019,24/07/2019,PMT-102530,1028,626,402,account to account,Approved
28/07/2019,4430000000000000,SIL362,WF012,ADB62531,13844,cash,28/07/2019,02/08/2019,PMT-102531,13921,13844,77,cash,Approved
15/12/2019,4180000000000000,PAN27,GMS012,CCS62532,10850,"account,account to cash",15/12/2019,17/12/2019,PMT-102532,11294,10850,444,"account,account to cash",Rejected
15/12/2019,4280000000000000,MAJ962,GMS012,CCS62533,26827,"account,cash to account",15/12/2019,04/01/2020,PMT-102533,27429,26827,602,"account,cash to account",Approved
29/12/2020,4460000000000000,MAJ962,RBC012,EX162534,27200,"bank account transfer,debit card",29/12/2020,03/01/2021,PMT-102534,28133,27200,933,"bank account transfer,debit card",Approved
27/07/2019,4450000000000000,PAN27,AE012,TRN62535,6061,account to account,31/07/2019,14/08/2019,PMT-102535,6218,6061,157,account to account,Rejected
05/08/2019,4461330335322460,MAR263,JPM012,CCS62536,31634,"bank account transfer,debit card",28/07/2019,30/07/2019,PMT-102536,31711,31634,77,"bank account transfer,debit card",Approved
23/08/2019,4490000000000000,PAN27,BNP012,TRN62537,33479,door to account,28/08/2019,13/09/2019,PMT-102537,34163,33479,684,door to account,Rejected
27/08/2019,4130000000000000,BEL16,RBC012,TRN62538,19629,door to account,15/08/2019,27/08/2019,PMT-102538,20452,19629,823,door to account,Rejected
11/05/2019,4310965278942460,CCS08,MS012,EX162539,5180,"cash,debit/credit card",28/05/2019,17/06/2019,PMT-102539,5624,5180,444,"cash,debit/credit card",Approved
15/03/2020,4460000000000000,BEL16,MS012,ADB62540,23591,"cash,cash to account",15/03/2020,01/04/2020,PMT-102540,23834,23591,243,"cash,cash to account",Rejected
05/04/2019,4470000000000000,MAR263,SSC012,CCS62541,3272,usd service,15/04/2019,17/04/2019,PMT-102541,4182,3272,910,usd service,Approved
22/11/2019,4840000000000000,SIL362,BMO012,TRN62542,23709,"bank account transfer,debit card",25/11/2019,09/12/2019,PMT-102542,24646,23709,937,mobile,Rejected
04/01/2019,4420000000000000,HEB18,Nort012,CCS62543,8075,"cash to account,credit/debit card service",09/01/2019,11/01/2019,PMT-102543,8974,8075,899,"cash to account,credit/debit card service",Rejected
22/12/2020,4850000000000000,BEL16,MUFG012,EX062544,16770,eur service,29/12/2020,18/01/2021,PMT-102544,17510,16770,740,eur service,Rejected
19/01/2019,4350000000000000,HEB18,HSBC012,ADB62545,32519,"cash,cash to account",09/01/2019,23/01/2019,PMT-102545,32716,32519,197,"cash,cash to account",Approved
30/04/2019,4250000000000000,BEL16,DEU012,CCS62546,8951,"bank account transfer,debit card",30/04/2019,05/05/2019,PMT-102546,9369,8951,418,"bank account transfer,debit card",Approved
21/11/2019,4310965278942460,MAR263,HSBC012,TRN62547,1808,cash,25/11/2019,01/12/2019,PMT-102547,2168,1808,360,"account,card,cash to cash",Approved
15/10/2019,4440000000000000,GPA01,JPM012,TRN62548,32903,cash to account,15/10/2019,26/10/2019,PMT-102548,33787,32903,884,cash to account,Rejected
14/08/2019,4630000000000000,HEB18,UBS012,CCS62549,37630,"cash to cash,credit/debit card service",28/08/2019,30/08/2019,PMT-102549,37938,37630,308,"cash to cash,credit/debit card service",Approved
19/07/2019,4750000000000000,HEB18,RBC012,TRN62550,10970,"account to account,door to door",28/07/2019,31/07/2019,PMT-102550,11622,10970,652,"account to account,door to door",Rejected
22/11/2019,4284399850715240,SIL362,Nort012,EX062551,11086,"card,cash to cash",28/11/2019,06/12/2019,PMT-102551,12029,11086,943,"card,cash to cash",Rejected
07/12/2019,4871073844665610,MAJ962,GMS012,TRN62552,10660,"cash to account,credit/debit card service",15/12/2019,30/12/2019,PMT-102552,11223,10660,563,"cash to account,credit/debit card service",Rejected
30/06/2019,4418568818305560,ITS03,WF012,CCS62553,6933,account to account,15/07/2019,03/08/2019,PMT-102553,7619,6933,686,account to account,Rejected
25/08/2019,4860000000000000,MAJ962,SSC012,TRN62554,9205,"account,cash to account",28/08/2019,31/08/2019,PMT-102554,9884,9205,679,"account,cash to account",Approved
13/09/2019,4240000000000000,SIL362,Nort012,EX062555,18411,"account,account to cash",25/09/2019,06/10/2019,PMT-102555,19009,18411,598,"account,account to cash",Rejected
17/07/2019,4730056511858720,SIL362,SSC012,TRN62556,15569,cash to account,25/07/2019,03/08/2019,PMT-102556,16312,15569,743,cash to account,Approved
15/02/2020,4486019260868800,HEB18,Nort012,CCS62557,36712,door to door,15/02/2020,03/03/2020,PMT-102557,36791,36712,79,door to door,Approved
07/08/2019,4465487619421600,CCS08,WF012,CCS62558,19154,cash to account,28/07/2019,13/08/2019,PMT-102558,20154,19154,1000,cash to account,Rejected
23/11/2019,4190000000000000,ITS03,JPM012,TRN62559,5045,"account,card,cash to cash",25/11/2019,03/12/2019,PMT-102559,5547,5045,502,"account,card,cash to cash",Rejected
11/06/2019,4270000000000000,GPA01,CITI012,ADB62560,27800,"cash to account,credit/debit card service",15/06/2019,03/07/2019,PMT-102560,28061,27800,261,"cash to account,credit/debit card service",Approved
09/08/2019,4780000000000000,PAN27,BNP012,TRN62561,8697,cash,28/07/2019,13/08/2019,PMT-102561,9531,8697,834,cash,Approved
15/11/2019,4418568818305560,MAR263,MS012,CCS62562,18225,"card,cash to cash",15/11/2019,17/11/2019,PMT-102562,18896,18225,671,"card,cash to cash",Rejected
12/08/2019,4378290266829730,CCS08,HSBC012,EX062563,10793,"cash,debit/credit card",15/08/2019,26/08/2019,PMT-102563,11632,10793,839,"cash,debit/credit card",Rejected
26/01/2020,4150000000000000,BEL16,MUFG012,ADB62564,33756,"account,account to cash",28/01/2020,24/01/2020,PMT-102564,34329,33756,573,"account,account to cash",Approved
18/04/2019,4275384634746050,SIL362,MS012,CCS62565,27448,door to door,30/04/2019,09/05/2019,PMT-102565,27939,27448,491,door to door,Approved
05/01/2019,4870000000000000,GPA01,BNP012,CCS62566,11584,cash,11/01/2019,30/01/2019,PMT-102566,12567,11584,983,cash,Approved
31/05/2019,4760000000000000,ITS03,BOA012,EX062567,8261,mobile,31/05/2019,20/06/2019,PMT-102567,9238,8261,977,mobile,Rejected
26/10/2019,4420000000000000,SIL362,BNP012,ADB62568,13887,"account to account,door to door",28/10/2019,10/11/2019,PMT-102568,14166,13887,279,"account to account,door to door",Rejected
09/10/2019,4760000000000000,SIL362,SSC012,TRN62569,1013,"bank account transfer,debit card",25/10/2019,07/11/2019,PMT-102569,1828,1013,815,"bank account transfer,debit card",Approved
15/04/2019,4871073844665610,CCS08,CITI012,CCS62570,3352,usd service,25/04/2019,05/05/2019,PMT-102570,3486,3352,134,usd service,Rejected
15/01/2020,4250000000000000,MAJ962,BOA012,EX062571,4764,"cash to account,credit/debit card service",15/01/2020,30/01/2020,PMT-102571,4896,4764,132,"cash to account,credit/debit card service",Rejected
09/11/2019,4380000000000000,MAJ962,CITI012,ADB62572,33661,"account to account,door to door",25/10/2019,11/11/2019,PMT-102572,34502,33661,841,"account to account,door to door",Approved
19/04/2019,4370000000000000,BEL16,JPM012,CCS62573,37822,"account,card,cash to cash",28/04/2019,17/05/2019,PMT-102573,38506,37822,684,"account,card,cash to cash",Approved
06/02/2020,4879302596918820,PAN27,MS012,TRN62574,15181,"cash to account,credit/debit card service",15/02/2020,28/02/2020,PMT-102574,16108,15181,927,"cash to account,credit/debit card service",Approved
02/08/2019,4840000000000000,SIL362,BMO012,EX062575,3946,"account,card,cash to cash",15/08/2019,04/09/2019,PMT-102575,4055,3946,109,"account,card,cash to cash",Rejected
25/03/2019,4450000000000000,HEB18,RBC012,ADB62576,16234,eur service,25/03/2019,11/04/2019,PMT-102576,16452,16234,218,eur service,Approved
22/06/2019,4520000000000000,MAR263,RBC012,CCS62577,11924,account to account,15/06/2019,20/06/2019,PMT-102577,12514,11924,590,account to account,Approved
25/08/2019,4760000000000000,MAR263,BMO012,CCS62578,17594,mobile money,25/08/2019,27/08/2019,PMT-102578,18426,17594,832,mobile money,Approved
07/01/2019,4360000000000000,MAR263,JPM012,TRN62579,17358,"bank account transfer,debit card",07/01/2019,22/01/2019,PMT-102579,17428,17358,70,"bank account transfer,debit card",Approved
23/01/2020,4520000000000000,CCS08,BARC012,ADB62580,30680,"cash to account,credit/debit card service",28/01/2020,11/02/2020,PMT-102580,31432,30680,752,"cash to account,credit/debit card service",Approved
28/01/2020,4640000000000000,MAJ962,HSBC012,CCS62581,7768,door to door,28/01/2020,07/02/2020,PMT-102581,8259,7768,491,door to door,Approved
17/03/2019,4387350758070690,ITS03,BARC012,CCS62582,31385,"cash,debit/credit card",25/03/2019,13/04/2019,PMT-102582,31978,31385,593,"cash,debit/credit card",Approved
07/01/2019,4700000000000000,MAJ962,BNP012,EX162583,4459,account to account,07/01/2019,21/01/2019,PMT-102583,5129,4459,670,account to account,Approved
06/08/2019,4619488866261890,SIL362,RBC012,TRN62584,11581,"card,cash to cash",31/07/2019,06/08/2019,PMT-102584,12056,11581,475,"card,cash to cash",Approved
25/11/2019,4540000000000000,MAJ962,JPM012,CCS62585,36505,prepaid card,28/11/2019,13/12/2019,PMT-102585,36663,36505,158,prepaid card,Rejected
17/12/2019,4904477933916270,CCS08,SSC012,TRN62586,14780,prepaid card,25/12/2019,12/01/2020,PMT-102586,15656,14780,876,prepaid card,Approved
13/01/2020,4350000000000000,BEL16,DEU012,TRN62587,20203,"bank account transfer,debit card",28/01/2020,12/02/2020,PMT-102587,20461,20203,258,"bank account transfer,debit card",Approved
12/08/2019,4500000000000000,SIL362,Nort012,EX162588,4341,account to account,15/08/2019,29/08/2019,PMT-102588,4808,4341,467,account to account,Rejected
01/01/2020,4850000000000000,HEB18,MUFG012,ADB62589,31381,"cash,cash to account",01/01/2020,10/01/2020,PMT-102589,31864,31381,483,"cash,cash to account",Approved
28/03/2019,4850000000000000,HEB18,BARC012,CCS62590,3470,"account to account,door to door",28/03/2019,07/04/2019,PMT-102590,3569,3470,99,"account to account,door to door",Rejected
28/02/2020,4810000000000000,SIL362,MS012,TRN62591,3318,prepaid card,28/02/2020,06/03/2020,PMT-102591,3901,3318,583,prepaid card,Approved
14/03/2019,4465487619421600,CCS08,WF012,CCS62592,22417,"card,cash to cash",28/03/2019,24/03/2019,PMT-102592,22508,22417,91,"card,cash to cash",Approved
08/04/2019,4865123733298850,CCS08,UBS012,EX062593,34603,"account,cash to account",15/04/2019,04/05/2019,PMT-102593,35256,34603,653,"account,cash to cash",Rejected
15/12/2019,4930000000000000,GPA01,MS012,ADB62594,33495,"cash to account,credit/debit card service",15/12/2019,03/01/2020,PMT-102594,33800,33495,305,"cash to account,credit/debit card service",Rejected
19/05/2019,4130000000000000,ITS03,BARC012,CCS62595,11251,eur service,28/05/2019,30/05/2019,PMT-102595,11396,11251,145,eur service,Approved
15/08/2019,4210000000000000,HEB18,HSBC012,TRN62596,7305,"account,cash to cash",15/08/2019,30/08/2019,PMT-102596,7820,7305,515,"account,cash to cash",Rejected
13/11/2019,4275384634746050,CCS08,MUFG012,TRN62597,32310,"account to account,door to door",15/11/2019,02/12/2019,PMT-102597,32791,32310,481,"account to account,door to door",Rejected
29/07/2019,4250000000000000,PAN27,UBS012,CCS62598,3562,"account,account to cash",15/08/2019,27/08/2019,PMT-102598,4118,3562,556,"account,account to cash",Approved
29/02/2020,4640000000000000,MAR263,BOA012,TRN62599,34911,mobile money,15/02/2020,18/02/2020,PMT-102599,35352,34911,441,mobile money,Rejected
15/12/2019,4520000000000000,ITS03,AE012,EX062600,38233,door to account,15/12/2019,28/12/2019,PMT-102600,38968,38233,735,door to account,Approved
20/12/2019,4590000000000000,CCS08,MS012,TRN62601,8711,cash to account,25/12/2019,11/01/2020,PMT-102601,9659,8711,948,cash to account,Approved
13/04/2019,4170000000000000,ITS03,DEU012,CCS62602,11431,"cash to account,credit/debit card service",25/04/2019,02/05/2019,PMT-102602,12245,11431,814,"cash to account,credit/debit card service",Rejected
15/02/2020,4486019260868800,ITS03,AE012,TRN62603,25711,prepaid card,15/02/2020,21/02/2020,PMT-102603,26651,25711,940,prepaid card,Rejected
25/05/2019,4500000000000000,SIL362,SSC012,EX062604,2540,cash to account,25/05/2019,02/06/2019,PMT-102604,3263,2540,723,cash to account,Approved
26/08/2019,4720000000000000,MAR263,BOA012,TRN62605,8670,account to account,15/08/2019,26/08/2019,PMT-102605,9350,8670,680,account to account,Rejected
01/05/2019,4250000000000000,ITS03,Nort012,CCS62606,660,"cash to cash,credit/debit card service",15/05/2019,11/05/2019,PMT-102606,1069,660,409,"cash to cash,credit/debit card service",Rejected
14/01/2020,4370000000000000,CCS08,DEU012,CCS62607,12939,"account,cash to cash",20/01/2020,01/02/2020,PMT-102607,13939,12939,1000,"account,cash to cash",Rejected
11/01/2020,4489858858391470,BEL16,BNP012,TRN62608,30586,"bank account transfer,debit card",28/01/2020,04/02/2020,PMT-102608,31506,30586,920,"bank account transfer,debit card",Rejected
12/08/2019,4571487833576270,HEB18,RBC012,ADB62609,5046,"card,cash to cash",28/08/2019,31/08/2019,PMT-102609,5191,5046,145,"card,cash to cash",Approved
28/05/2019,4865123733298850,HEB18,GMS012,TRN62610,23353,prepaid card,31/05/2019,12/06/2019,PMT-102610,24333,23353,980,prepaid card,Approved
16/12/2019,4480000000000000,ITS03,BOA012,CCS62611,17332,account to account,25/12/2019,07/01/2020,PMT-102611,18232,17332,900,account to account,Approved
17/01/2020,4523540557614720,BEL16,HSBC012,EX062612,7370,usd service,28/01/2020,15/02/2020,PMT-102612,8146,7370,776,usd service,Rejected
30/10/2019,4350000000000000,GPA01,BOA012,ADB62613,6106,"cash to cash,credit/debit card service",15/11/2019,02/12/2019,PMT-102613,6972,6106,866,"cash to cash,credit/debit card service",Approved
28/09/2019,4760000000000000,MAR263,Nort012,CCS62614,33760,"cash,cash to account",30/09/2019,14/10/2019,PMT-102614,34223,33760,463,"cash,cash to account",Rejected
10/08/2019,4240000000000000,PAN27,UBS012,CCS62615,10311,"account,cash to account",25/08/2019,08/09/2019,PMT-102615,10653,10311,342,"account,cash to account",Approved
07/01/2020,4300000000000000,PAN27,DEU012,EX062616,16544,cash to account,15/01/2020,31/01/2020,PMT-102616,17223,16544,679,cash to account,Rejected
15/06/2019,4520000000000000,ITS03,WF012,ADB62617,14940,cash to account,15/06/2019,21/06/2019,PMT-102617,15489,14940,549,cash to account,Approved
15/03/2019,4696544390601290,MAJ962,CITI012,TRN62618,14995,"account,account to cash",15/03/2019,28/03/2019,PMT-102618,15189,14995,194,"account,account to cash",Approved
03/05/2019,4720000000000000,MAR263,JPM012,CCS62619,11756,"cash,cash to account",15/05/2019,17/05/2019,PMT-102619,11824,11756,68,prepaid card,Rejected
13/05/2019,4880000000000000,CCS08,JPM012,EX062620,36007,mobile money,25/05/2019,02/06/2019,PMT-102620,36098,36007,91,mobile money,Approved
25/04/2019,4190000000000000,ITS03,WF012,ADB62621,16118,"cash to cash,credit/debit card service",15/04/2019,11/04/2019,PMT-102621,16758,16118,640,"cash to cash,credit/debit card service",Rejected
31/12/2018,4502644813502350,SIL362,BOA012,CCS62622,22874,account to account,05/01/2019,22/01/2019,PMT-102622,23648,22874,774,account to account,Rejected
28/08/2019,4871073844665610,SIL362,MS012,TRN62623,29418,account to account,15/08/2019,22/08/2019,PMT-102623,30395,29418,977,account to account,Approved
25/08/2019,4865123733298850,SIL362,SSC012,EX062624,14646,"account,card,cash to cash",25/08/2019,10/09/2019,PMT-102624,14896,14646,250,"account,card,cash to cash",Rejected
15/01/2020,4378290266829730,BEL16,Nort012,ADB62625,2792,prepaid card,15/01/2020,23/01/2020,PMT-102625,2925,2792,133,prepaid card,Approved
10/07/2019,4380000000000000,ITS03,UBS012,CCS62626,32775,mobile,15/07/2019,31/07/2019,PMT-102626,33756,32775,981,mobile,Approved
28/12/2019,4650000000000000,CCS08,JPM012,CCS62627,6963,cash,02/01/2020,11/01/2020,PMT-102627,7226,6963,263,cash,Approved
28/07/2019,4465487619421600,CCS08,RBC012,TRN62628,4398,"bank account transfer,debit card",28/07/2019,09/08/2019,PMT-102628,4662,4398,264,"bank account transfer,debit card",Rejected
17/01/2020,4830000000000000,PAN27,JPM012,ADB62629,34708,"bank account transfer,debit card",28/01/2020,30/01/2020,PMT-102629,34889,34708,181,"bank account transfer,debit card",Approved
15/11/2019,4696544390601290,GPA01,BNP012,CCS62630,26298,"card,cash to cash",15/11/2019,29/11/2019,PMT-102630,26711,26298,413,"card,cash to cash",Approved
20/12/2018,4871073844665610,BEL16,MS012,CCS62631,2997,"bank account transfer,debit card",07/01/2019,20/01/2019,PMT-102631,3671,2997,674,"bank account transfer,debit card",Approved
28/01/2020,4260000000000000,HEB18,MS012,EX162632,15055,"bank account transfer,cash,mobile money",28/01/2020,15/02/2020,PMT-102632,15167,15055,112,"bank account transfer,cash,mobile money",Approved
08/03/2019,4870000000000000,BEL16,JPM012,TRN62633,7159,"cash,cash to account",25/03/2019,02/04/2019,PMT-102633,7373,7159,214,"cash,cash to account",Approved
16/12/2019,4310965278942460,ITS03,GMS012,CCS62634,22310,account to account,25/12/2019,11/01/2020,PMT-102634,23217,22310,907,account to account,Approved
17/07/2019,4904477933916270,CCS08,SSC012,TRN62635,739,cash,28/07/2019,12/08/2019,PMT-102635,1022,739,283,cash,Approved
28/07/2019,4300000000000000,ITS03,WF012,TRN62636,7890,prepaid card,28/07/2019,09/08/2019,PMT-102636,8494,7890,604,prepaid card,Rejected
16/06/2019,4871073844665610,MAR263,BMO012,EX162637,21018,cash,25/06/2019,09/07/2019,PMT-102637,21084,21018,66,cash,Rejected
10/09/2019,4708814514140940,PAN27,BARC012,ADB62638,9184,"account,cash to account",15/09/2019,27/09/2019,PMT-102638,9648,9184,464,"account,cash to account",Approved
18/02/2020,4458237294973340,BEL16,BARC012,CCS62639,35608,"cash,debit/credit card",28/02/2020,11/03/2020,PMT-102639,35808,35608,200,"cash,debit/credit card",Approved
25/05/2019,4378290266829730,ITS03,CITI012,TRN62640,11380,"bank account transfer,debit card",25/05/2019,08/06/2019,PMT-102640,12377,11380,997,"bank account transfer,debit card",Rejected
05/01/2019,4550000000000000,BEL16,BOA012,CCS62641,30483,door to door,10/01/2019,23/01/2019,PMT-102641,31316,30483,833,door to door,Rejected
20/09/2019,4820000000000000,SIL362,JPM012,EX062642,2053,cash,15/09/2019,04/10/2019,PMT-102642,2176,2053,123,account to account,Rejected
20/01/2020,4350000000000000,CCS08,DEU012,ADB62643,22788,"bank account transfer,cash,mobile money",20/01/2020,06/02/2020,PMT-102643,23047,22788,259,"bank account transfer,cash,mobile money",Approved
28/06/2019,4130000000000000,ITS03,DEU012,CCS62644,38082,"bank account transfer,debit card",28/06/2019,11/07/2019,PMT-102644,38830,38082,748,"bank account transfer,debit card",Approved
16/04/2019,4420000000000000,HEB18,BARC012,TRN62645,30946,"account,cash to cash",28/04/2019,05/05/2019,PMT-102645,31261,30946,315,"account,cash to cash",Approved
26/12/2019,4920000000000000,CCS08,Nort012,TRN62646,19244,"cash,debit/credit card",28/12/2019,10/01/2020,PMT-102646,19869,19244,625,"cash,debit/credit card",Rejected
